Company Name,Industry,Symbol,yahoo finance symbol
Brigade Enterprises Ltd.,Realty,BRIGADE,BRIGADE.NS
Brightcom Group Ltd.,Information Technology,BCG,BCG.NS
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA,BRITANNIA.NS
C.E. Info Systems Ltd.,Information Technology,MAPMYINDIA,MAPMYINDIA.NS
CCL Products (I) Ltd.,Fast Moving Consumer Goods,CCL,CCL.NS
CESC Ltd.,Power,CESC,CESC.NS
CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER,CGPOWER.NS
CRISIL Ltd.,Financial Services,CRISIL,CRISIL.NS
CSB Bank Ltd.,Financial Services,CSBBANK,CSBBANK.NS
Can Fin Homes Ltd.,Financial Services,CANFINHOME,CANFINHOME.NS
Canara Bank,Financial Services,CANBK,CANBK.NS
Caplin Point Laboratories Ltd.,Healthcare,CAPLIPOINT,CAPLIPOINT.NS
Capri Global Capital Ltd.,Financial Services,CGCL,CGCL.NS
Carborundum Universal Ltd.,Capital Goods,CARBORUNIV,CARBORUNIV.NS
Castrol India Ltd.,Oil Gas & Consumable Fuels,CASTROLIND,CASTROLIND.NS
Ceat Ltd.,Automobile and Auto Components,CEATLTD,CEATLTD.NS
Central Bank of India,Financial Services,CENTRALBK,CENTRALBK.NS
Central Depository Services (India) Ltd.,Financial Services,CDSL,CDSL.NS
Century Plyboards (India) Ltd.,Consumer Durables,CENTURYPLY,CENTURYPLY.NS
Century Textile & Industries Ltd.,Forest Materials,CENTURYTEX,CENTURYTEX.NS
Cera Sanitaryware Ltd,Consumer Durables,CERA,CERA.NS
Chalet Hotels Ltd.,Consumer Services,CHALET,CHALET.NS
Chambal Fertilizers & Chemicals Ltd.,Chemicals,CHAMBLFERT,CHAMBLFERT.NS
Chemplast Sanmar Ltd.,Chemicals,CHEMPLASTS,CHEMPLASTS.NS
Cholamandalam Financial Holdings Ltd.,Financial Services,CHOLAHLDNG,CHOLAHLDNG.NS
Cholamandalam Investment and Finance Company Ltd.,Financial Services,CHOLAFIN,CHOLAFIN.NS
Cipla Ltd.,Healthcare,CIPLA,CIPLA.NS
City Union Bank Ltd.,Financial Services,CUB,CUB.NS
Clean Science and Technology Ltd.,Chemicals,CLEAN,CLEAN.NS
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,COALINDIA.NS
Cochin Shipyard Ltd.,Capital Goods,COCHINSHIP,COCHINSHIP.NS
Coforge Ltd.,Information Technology,COFORGE,COFORGE.NS
Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL,COLPAL.NS
Computer Age Management Services Ltd.,Financial Services,CAMS,CAMS.NS
Container Corporation of India Ltd.,Services,CONCOR,CONCOR.NS
Coromandel International Ltd.,Chemicals,COROMANDEL,COROMANDEL.NS
CreditAccess Grameen Ltd.,Financial Services,CREDITACC,CREDITACC.NS
Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,CROMPTON,CROMPTON.NS
Cummins India Ltd.,Capital Goods,CUMMINSIND,CUMMINSIND.NS
Cyient Ltd.,Information Technology,CYIENT,CYIENT.NS
DCM Shriram Ltd.,Diversified,DCMSHRIRAM,DCMSHRIRAM.NS
DLF Ltd.,Realty,DLF,DLF.NS
Dabur India Ltd.,Fast Moving Consumer Goods,DABUR,DABUR.NS
Dalmia Bharat Ltd.,Construction Materials,DALBHARAT,DALBHARAT.NS
Deepak Nitrite Ltd.,Chemicals,DEEPAKNTR,DEEPAKNTR.NS
Delta Corp Ltd.,Consumer Services,DELTACORP,DELTACORP.NS
Devyani International Ltd.,Consumer Services,DEVYANI,DEVYANI.NS
Dhani Services Ltd.,Financial Services,DHANI,DHANI.NS
Dilip Buildcon Ltd.,Construction,DBL,DBL.NS
Divi's Laboratories Ltd.,Healthcare,DIVISLAB,DIVISLAB.NS
Dixon Technologies (India) Ltd.,Consumer Durables,DIXON,DIXON.NS
Dr. Lal Path Labs Ltd.,Healthcare,LALPATHLAB,LALPATHLAB.NS
Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY,DRREDDY.NS
E.I.D. Parry (India) Ltd.,Fast Moving Consumer Goods,EIDPARRY,EIDPARRY.NS
EIH Ltd.,Consumer Services,EIHOTEL,EIHOTEL.NS
EPL Ltd.,Capital Goods,EPL,EPL.NS
Easy Trip Planners Ltd.,Consumer Services,EASEMYTRIP,EASEMYTRIP.NS
Edelweiss Financial Services Ltd.,Financial Services,EDELWEISS,EDELWEISS.NS
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,EICHERMOT.NS
Elgi Equipments Ltd.,Capital Goods,ELGIEQUIP,ELGIEQUIP.NS
Emami Ltd.,Fast Moving Consumer Goods,EMAMILTD,EMAMILTD.NS
Endurance Technologies Ltd.,Automobile and Auto Components,ENDURANCE,ENDURANCE.NS
Engineers India Ltd.,Construction,ENGINERSIN,ENGINERSIN.NS
Equitas Holdings Ltd.,Financial Services,EQUITAS,EQUITAS.NS
Equitas Small Finance Bank Ltd.,Financial Services,EQUITASBNK,EQUITASBNK.NS
Eris Lifesciences Ltd.,Healthcare,ERIS,ERIS.NS
Escorts Ltd.,Capital Goods,ESCORTS,ESCORTS.NS
Exide Industries Ltd.,Automobile and Auto Components,EXIDEIND,EXIDEIND.NS
FDC Ltd.,Healthcare,FDC,FDC.NS
FSN E-Commerce Ventures Ltd.,Consumer Services,NYKAA,NYKAA.NS
Federal Bank Ltd.,Financial Services,FEDERALBNK,FEDERALBNK.NS
Fertilisers and Chemicals Travancore Ltd.,Chemicals,FACT,FACT.NS
Fine Organic Industries Ltd.,Chemicals,FINEORG,FINEORG.NS
Finolex Cables Ltd.,Capital Goods,FINCABLES,FINCABLES.NS
Finolex Industries Ltd.,Capital Goods,FINPIPE,FINPIPE.NS
Firstsource Solutions Ltd.,Information Technology,FSL,FSL.NS
Fortis Healthcare Ltd.,Healthcare,FORTIS,FORTIS.NS
G R Infraprojects Ltd.,Construction,GRINFRA,GRINFRA.NS
GAIL (India) Ltd.,Oil Gas & Consumable Fuels,GAIL,GAIL.NS
GMM Pfaudler Ltd.,Capital Goods,GMMPFAUDLR,GMMPFAUDLR.NS
Galaxy Surfactants Ltd.,Chemicals,GALAXYSURF,GALAXYSURF.NS
Garware Technical Fibres Ltd.,Textiles,GARFIBRES,GARFIBRES.NS
General Insurance Corporation of India,Financial Services,GICRE,GICRE.NS
Gland Pharma Ltd.,Healthcare,GLAND,GLAND.NS
Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,GLAXO,GLAXO.NS
Glenmark Life Sciences Ltd.,Healthcare,GLS,GLS.NS
Glenmark Pharmaceuticals Ltd.,Healthcare,GLENMARK,GLENMARK.NS
Go Fashion (India) Ltd.,Consumer Services,GOCOLORS,GOCOLORS.NS
Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,GODFRYPHLP,GODFRYPHLP.NS
Godrej Agrovet Ltd.,Fast Moving Consumer Goods,GODREJAGRO,GODREJAGRO.NS
Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP,GODREJCP.NS
Godrej Industries Ltd.,Fast Moving Consumer Goods,GODREJIND,GODREJIND.NS
Godrej Properties Ltd.,Realty,GODREJPROP,GODREJPROP.NS
Granules India Ltd.,Healthcare,GRANULES,GRANULES.NS
Graphite India Ltd.,Capital Goods,GRAPHITE,GRAPHITE.NS
Grasim Industries Ltd.,Construction Materials,GRASIM,GRASIM.NS
Great Eastern Shipping Co. Ltd.,Services,GESHIP,GESHIP.NS
Grindwell Norton Ltd.,Capital Goods,GRINDWELL,GRINDWELL.NS
Gujarat Alkalies & Chemicals Ltd.,Chemicals,GUJALKALI,GUJALKALI.NS
Gujarat Ambuja Exports Ltd.,Fast Moving Consumer Goods,GAEL,GAEL.NS
Gujarat Fluorochemicals Ltd.,Chemicals,FLUOROCHEM,FLUOROCHEM.NS
Gujarat Gas Ltd.,Oil Gas & Consumable Fuels,GUJGASLTD,GUJGASLTD.NS
Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,Chemicals,GNFC,GNFC.NS
Gujarat Pipavav Port Ltd.,Services,GPPL,GPPL.NS
Gujarat State Fertilizers & Chemicals Ltd.,Chemicals,GSFC,GSFC.NS
Gujarat State Petronet Ltd.,Oil Gas & Consumable Fuels,GSPL,GSPL.NS
H.E.G. Ltd.,Capital Goods,HEG,HEG.NS
HCL Technologies Ltd.,Information Technology,HCLTECH,HCLTECH.NS
HDFC Asset Management Company Ltd.,Financial Services,HDFCAMC,HDFCAMC.NS
HDFC Bank Ltd.,Financial Services,HDFCBANK,HDFCBANK.NS
HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE,HDFCLIFE.NS
HFCL Ltd.,Telecommunication,HFCL,HFCL.NS
HLE Glascoat Ltd.,Capital Goods,HLEGLAS,HLEGLAS.NS
Happiest Minds Technologies Ltd.,Information Technology,HAPPSTMNDS,HAPPSTMNDS.NS
Hathway Cable & Datacom Ltd.,Media Entertainment & Publication,HATHWAY,HATHWAY.NS
Hatsun Agro Product Ltd.,Fast Moving Consumer Goods,HATSUN,HATSUN.NS
Havells India Ltd.,Consumer Durables,HAVELLS,HAVELLS.NS
Hemisphere Properties India Ltd.,Realty,HEMIPROP,HEMIPROP.NS
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO,HEROMOTOCO.NS
Hikal Ltd.,Healthcare,HIKAL,HIKAL.NS
Hindalco Industries Ltd.,Metals & Mining,HINDALCO,HINDALCO.NS
Hinduja Global Solutions Ltd.,Services,HGS,HGS.NS
Hindustan Aeronautics Ltd.,Capital Goods,HAL,HAL.NS
Hindustan Copper Ltd.,Metals & Mining,HINDCOPPER,HINDCOPPER.NS
Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,HINDPETRO,HINDPETRO.NS
Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR,HINDUNILVR.NS
Hindustan Zinc Ltd.,Metals & Mining,HINDZINC,HINDZINC.NS
Hitachi Energy India Ltd.,Capital Goods,POWERINDIA,POWERINDIA.NS
Home First Finance Company India Ltd.,Financial Services,HOMEFIRST,HOMEFIRST.NS
Honeywell Automation India Ltd.,Capital Goods,HONAUT,HONAUT.NS
Housing & Urban Development Corporation Ltd.,Financial Services,HUDCO,HUDCO.NS
Housing Development Finance Corporation Ltd.,Financial Services,HDFC,HDFC.NS
ICICI Bank Ltd.,Financial Services,ICICIBANK,ICICIBANK.NS
ICICI Lombard General Insurance Company Ltd.,Financial Services,ICICIGI,ICICIGI.NS
ICICI Prudential Life Insurance Company Ltd.,Financial Services,ICICIPRULI,ICICIPRULI.NS
ICICI Securities Ltd.,Financial Services,ISEC,ISEC.NS
IDBI Bank Ltd.,Financial Services,IDBI,IDBI.NS
IDFC First Bank Ltd.,Financial Services,IDFCFIRSTB,IDFCFIRSTB.NS
IDFC Ltd.,Financial Services,IDFC,IDFC.NS
IFB Industries Ltd.,Consumer Durables,IFBIND,IFBIND.NS
IIFL Finance Ltd.,Financial Services,IIFL,IIFL.NS
IIFL Wealth Management Ltd.,Financial Services,IIFLWAM,IIFLWAM.NS
IRB Infrastructure Developers Ltd.,Construction,IRB,IRB.NS
IRCON International Ltd.,Construction,IRCON,IRCON.NS
ITC Ltd.,Fast Moving Consumer Goods,ITC,ITC.NS
ITI Ltd.,Telecommunication,ITI,ITI.NS
India Cements Ltd.,Construction Materials,INDIACEM,INDIACEM.NS
Indiabulls Housing Finance Ltd.,Financial Services,IBULHSGFIN,IBULHSGFIN.NS
Indiabulls Real Estate Ltd.,Realty,IBREALEST,IBREALEST.NS
Indiamart Intermesh Ltd.,Consumer Services,INDIAMART,INDIAMART.NS
Indian Bank,Financial Services,INDIANB,INDIANB.NS
Indian Energy Exchange Ltd.,Financial Services,IEX,IEX.NS
Indian Hotels Co. Ltd.,Consumer Services,INDHOTEL,INDHOTEL.NS
Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,IOC,IOC.NS
Indian Overseas Bank,Financial Services,IOB,IOB.NS
Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,IRCTC,IRCTC.NS
